year,id,marital,hrs1,conrinc,childs,meovrwrk,hlthdep
2018.0,484,never married,35.0,13143.75,0.0,,
2018.0,485,widowed,,,2.0,agree,
2018.0,486,divorced,,,5.0,,
2018.0,487,never married,20.0,22782.5,6.0,disagree,
2018.0,488,widowed,,,4.0,neither agree nor disagree,
2018.0,489,married,60.0,22782.5,3.0,strongly agree,
2018.0,490,never married,,,1.0,,
2018.0,491,married,50.0,112160.0,2.0,strongly disagree,
2018.0,492,married,70.0,182695.90984,3.0,,
2018.0,493,divorced,15.0,57832.5,2.0,,
2018.0,494,married,,,2.0,,
2018.0,495,never married,38.0,31545.0,0.0,,
2018.0,496,never married,44.0,,2.0,disagree,
2018.0,497,never married,35.0,,1.0,,
2018.0,498,separated,,,5.0,,
2018.0,499,married,10.0,22782.5,5.0,disagree,
2018.0,500,married,,,4.0,strongly agree,
2018.0,501,married,44.0,57832.5,0.0,disagree,
2018.0,502,married,40.0,,2.0,agree,
2018.0,503,married,,,1.0,,
2018.0,504,married,40.0,,1.0,,
2018.0,505,married,40.0,57832.5,0.0,agree,
2018.0,506,married,,,2.0,,
2018.0,507,married,50.0,47317.5,2.0,neither agree nor disagree,
2018.0,508,married,40.0,38555.0,0.0,disagree,
2018.0,509,married,45.0,84120.0,1.0,,
2018.0,510,married,45.0,70100.0,2.0,disagree,
2018.0,511,widowed,2.0,31545.0,0.0,,
2018.0,512,married,30.0,,2.0,disagree,
2018.0,513,married,,,2.0,agree,
2018.0,514,married,40.0,112160.0,2.0,neither agree nor disagree,
2018.0,515,married,,,2.0,disagree,
2018.0,516,married,65.0,,1.0,,
2018.0,517,married,,,2.0,,
2018.0,518,married,,,1.0,neither agree nor disagree,
2018.0,519,widowed,50.0,84120.0,1.0,,
2018.0,520,married,,19277.5,2.0,agree,
2018.0,521,married,,,6.0,,
2018.0,522,married,44.0,11391.25,1.0,agree,
2018.0,523,married,60.0,38555.0,3.0,agree,
2018.0,524,never married,25.0,9638.75,0.0,agree,
2018.0,525,married,30.0,182695.90984,4.0,,
2018.0,526,never married,,350.5,2.0,agree,
2018.0,527,married,35.0,,3.0,disagree,
2018.0,528,widowed,6.0,350.5,4.0,agree,
2018.0,529,married,,,2.0,agree,
2018.0,530,divorced,45.0,38555.0,1.0,,
2018.0,531,never married,48.0,1402.0,0.0,agree,
2018.0,532,divorced,,,6.0,disagree,
2018.0,533,never married,40.0,31545.0,1.0,agree,
2018.0,534,married,40.0,70100.0,2.0,,
2018.0,535,married,,,3.0,neither agree nor disagree,
2018.0,536,married,18.0,6309.0,0.0,,
2018.0,537,widowed,,,6.0,disagree,
2018.0,538,married,44.0,57832.5,2.0,disagree,
2018.0,539,married,60.0,22782.5,3.0,,
2018.0,540,married,40.0,22782.5,2.0,disagree,
2018.0,541,divorced,55.0,70100.0,2.0,,
2018.0,542,married,,,2.0,agree,
2018.0,543,never married,60.0,70100.0,0.0,strongly disagree,
2018.0,544,married,50.0,57832.5,4.0,,
2018.0,545,divorced,30.0,47317.5,2.0,disagree,
2018.0,546,married,,,2.0,,
2018.0,547,married,,,3.0,strongly agree,
2018.0,548,never married,,,2.0,strongly disagree,
2018.0,549,widowed,,,4.0,disagree,
2018.0,550,divorced,,,2.0,neither agree nor disagree,
2018.0,551,married,5.0,14896.249999999998,2.0,strongly agree,
2018.0,552,divorced,30.0,182695.90984,1.0,agree,
2018.0,553,married,55.0,70100.0,2.0,disagree,
2018.0,554,never married,20.0,4556.5,0.0,,
2018.0,555,married,36.0,,2.0,neither agree nor disagree,
2018.0,556,married,25.0,7886.249999999999,4.0,disagree,
2018.0,557,married,,,3.0,neither agree nor disagree,
2018.0,558,widowed,,,2.0,,
2018.0,559,married,50.0,38555.0,3.0,agree,
2018.0,560,never married,89.0,38555.0,0.0,,
2018.0,561,widowed,,,2.0,agree,
2018.0,562,married,25.0,2453.5,2.0,agree,
2018.0,563,never married,45.0,47317.5,0.0,neither agree nor disagree,
2018.0,564,married,40.0,57832.5,2.0,agree,
2018.0,565,never married,40.0,14896.249999999998,0.0,,
2018.0,566,widowed,,,2.0,,
2018.0,567,married,40.0,26287.5,2.0,disagree,
2018.0,568,divorced,,,2.0,agree,
